Factor Accession No.	Factor Name	Factor Species
T02532	GATA-4	mouse, Mus musculus
T02687	GATA-4	human, Homo sapiens
T02686	GATA-6	mouse, Mus musculus
T02689	GATA-6	human, Homo sapiens
T02717	GATA-6	rat, Rattus norvegicus
T00335	GR	mouse, Mus musculus
T00333	GR	rat, Rattus norvegicus
T00337	GR-alpha	human, Homo sapiens
T01920	GR-beta	human, Homo sapiens
T01609	HIF-1	human, Homo sapiens
T04667	HIF-1	mouse, Mus musculus
T01610	HIF-1alpha	human, Homo sapiens
T04666	HIF-1alpha	mouse, Mus musculus
T01211	HNF-1alpha	mouse, Mus musculus
T00369	HNF-1alpha	rat, Rattus norvegicus
T00368	HNF-1alpha-A	human, Homo sapiens
T01950	HNF-1alpha-B	human, Homo sapiens
T01951	HNF-1alpha-C	human, Homo sapiens
T00889	HNF-1beta	rat, Rattus norvegicus
T00890	HNF-1beta	mouse, Mus musculus
T00891	HNF-1beta-A	human, Homo sapiens
T01104	HNF-3	human, Homo sapiens
T00370	HNF-3	mouse, Mus musculus
T02512	HNF-3alpha	human, Homo sapiens
T02343	HNF-3alpha	mouse, Mus musculus
T00371	HNF-3alpha	rat, Rattus norvegicus
T02513	HNF-3beta	human, Homo sapiens
T01049	HNF-3beta	rat, Rattus norvegicus
T02344	HNF-3beta	mouse, Mus musculus
T02345	HNF-3gamma	mouse, Mus musculus
T01050	HNF-3gamma	rat, Rattus norvegicus
T02418	HNF-3gamma	human, Homo sapiens
T02758	HNF-4	human, Homo sapiens
T03828	HNF-4alpha	human, Homo sapiens
T00372	HNF-4alpha1	rat, Rattus norvegicus
T02421	HNF-4alpha1	human, Homo sapiens
T02424	HNF-4alpha1	mouse, Mus musculus
T00373	HNF-4alpha2	human, Homo sapiens
T02422	HNF-4alpha2	rat, Rattus norvegicus
T02423	HNF-4alpha2	mouse, Mus musculus
T02428	HNF-4alpha3	human, Homo sapiens
T02425	HNF-4alpha4	human, Homo sapiens
T02427	HNF-4alpha7	mouse, Mus musculus
T02430	HNF-4gamma	human, Homo sapiens
T03296	HNF-6	mouse, Mus musculus
T03257	HNF-6alpha	rat, Rattus norvegicus
T03286	HNF-6alpha	human, Homo sapiens
T03258	HNF-6beta	rat, Rattus norvegicus
T00375	HNF3(-like)	rat, Rattus norvegicus
T02752	LXR-alpha	human, Homo sapiens
T04430	LXR-alpha	mouse, Mus musculus
T04434	LXR-alpha	rat, Rattus norvegicus
T05320	LXR-alpha:RXR-alpha	mouse, Mus musculus
T05324	LXR-alpha:RXR-alpha	human, Homo sapiens
T05357	LXR-alpha:RXR-alpha	rat, Rattus norvegicus
T04451	LXR-beta	rat, Rattus norvegicus
T04453	LXR-beta	human, Homo sapiens
T04467	LXR-beta	mouse, Mus musculus
T00539	NF-1	human, Homo sapiens
T00535	NF-1	rat, Rattus norvegicus
T00537	NF-1	mouse, Mus musculus
T00581	NF-IL6-2	human, Homo sapiens
T00587	NF-kappaB	rat, Rattus norvegicus
T00588	NF-kappaB	mouse, Mus musculus
T00590	NF-kappaB	human, Homo sapiens
T00591	NF-kappaB(-like)	human, Homo sapiens
T00592	NF-kappaB(-like)	mouse, Mus musculus
T01926	NF-kappaB1 precursor	rat, Rattus norvegicus
T01930	NF-kappaB2 (p49)	human, Homo sapiens
T01927	NF-kappaB2 precursor	human, Homo sapiens
T01925	p105	human, Homo sapiens
T01924	p105	mouse, Mus musculus
T00593	p50	human, Homo sapiens
T00389	p50	rat, Rattus norvegicus
T01923	p50	mouse, Mus musculus
T00394	p52	human, Homo sapiens
T00641	POU2F1	human, Homo sapiens
T00643	POU2F1	rat, Rattus norvegicus
T00644	POU2F1a	mouse, Mus musculus
T01862	POU2F1b	mouse, Mus musculus
T01863	POU2F1c	mouse, Mus musculus
T00652	POU5F1A	human, Homo sapiens
T00694	PPAR-alpha	mouse, Mus musculus
T00991	PPAR-alpha	rat, Rattus norvegicus
T02726	PPAR-alpha	human, Homo sapiens
T05256	PPAR-alpha:RXR-alpha	rat, Rattus norvegicus
T05221	PPAR-alpha:RXR-alpha	human, Homo sapiens
T05243	PPAR-alpha:RXR-alpha	mouse, Mus musculus
T00594	RelA	human, Homo sapiens
T00595	RelA	mouse, Mus musculus
T01345	RXR-alpha	human, Homo sapiens
T01331	RXR-alpha	mouse, Mus musculus
T04383	RXR-alpha	rat, Rattus norvegicus
T01332	RXR-beta	mouse, Mus musculus
T01334	RXR-beta	human, Homo sapiens
T01349	RXR-beta	rat, Rattus norvegicus
T02779	RXR-beta1	mouse, Mus musculus
T01366	RXR-beta2	mouse, Mus musculus
T01333	RXR-gamma	mouse, Mus musculus
T04807	RXR-gamma	human, Homo sapiens
T04845	RXR-gamma	rat, Rattus norvegicus
T00754	Sp1	rat, Rattus norvegicus
T00752	Sp1	mouse, Mus musculus
T00759	Sp1	human, Homo sapiens
T04562	SREBP-1	mouse, Mus musculus
T01556	SREBP-1a	human, Homo sapiens
T01557	SREBP-1b	human, Homo sapiens
T01558	SREBP-1c	human, Homo sapiens
T01560	SREBP-2	human, Homo sapiens
T04759	STAT1	human, Homo sapiens
T01493	STAT3	human, Homo sapiens
T01574	STAT3	mouse, Mus musculus
T01581	STAT6	mouse, Mus musculus
T01580	STAT6	human, Homo sapiens
T00875	USF-1	rat, Rattus norvegicus
T00877	USF-1	mouse, Mus musculus
T00874	USF1	human, Homo sapiens
T00878	USF2	human, Homo sapiens
T01555	USF2	mouse, Mus musculus
T02115	USF2	rat, Rattus norvegicus
T02377	USF2b	human, Homo sapiens
T00278	YY1	mouse, Mus musculus
T00915	YY1	human, Homo sapiens
T04970	YY1	rat, Rattus norvegicus
